Name,System,Year,Platform,Genre,Publisher,Global_Sales,Critic_Score
NCAA Football 2002,PLAYSTATION,2001,PS2,Sports,Electronic Arts,1.57,90
Gears of War: Judgment,XBOX,2013,X360,Shooter,Microsoft Game Studios,1.57,79
Watch Dogs,XBOX,2014,XOne,Action,Ubisoft,1.57,78
Madden NFL 15,XBOX,2014,XOne,Sports,Electronic Arts,1.57,80
Conflict: Desert Storm,PLAYSTATION,2002,PS2,Shooter,Gotham Games,1.57,55
Smuggler's Run,PLAYSTATION,2000,PS2,Racing,Take-Two Interactive,1.56,79
Fight Night Round 3,PLAYSTATION,2006,PS2,Fighting,Electronic Arts,1.56,84
Need for Speed: Most Wanted,XBOX,2012,X360,Racing,Electronic Arts,1.56,83
Stuntman,PLAYSTATION,2002,PS2,Racing,Atari,1.55,71
Tom Clancy's Rainbow Six 3,XBOX,2003,XB,Shooter,Ubisoft,1.55,86
LEGO Harry Potter: Years 1-4,XBOX,2010,X360,Action,Warner Bros. Interactive Entertainment,1.55,79
Spider-Man 2: Enter: Electro,PLAYSTATION,2001,PS,Action,Activision,1.55,74
Wolfenstein: The New Order,PLAYSTATION,2014,PS4,Shooter,Bethesda Softworks,1.55,79
Mafia II,XBOX,2010,X360,Action,Take-Two Interactive,1.55,74
BioShock 2,PLAYSTATION,2010,PS3,Shooter,Take-Two Interactive,1.54,88
Dark Cloud,PLAYSTATION,2000,PS2,Role-Playing,Sony Computer Entertainment,1.54,80
Tom Clancy's Ghost Recon Advanced Warfighter,XBOX,2006,X360,Shooter,Ubisoft,1.54,90
MVP Baseball 2005,PLAYSTATION,2005,PS2,Sports,Electronic Arts,1.54,87
Pro Evolution Soccer 2013,PLAYSTATION,2012,PS3,Sports,Konami Digital Entertainment,1.53,82
Dishonored,PLAYSTATION,2012,PS3,Action,Bethesda Softworks,1.53,89
The Simpsons Skateboarding,PLAYSTATION,2002,PS2,Sports,Electronic Arts,1.52,38
Fight Night Round 4,PLAYSTATION,2009,PS3,Fighting,Electronic Arts,1.52,88
Pac-Man World 2,PLAYSTATION,2002,PS2,Action,Namco Bandai Games,1.51,73
Dead Space 2,XBOX,2011,X360,Shooter,Electronic Arts,1.51,90
The Simpsons Game,PLAYSTATION,2007,PS2,Action,Electronic Arts,1.51,68
Ni no Kuni: Wrath of the White Witch,PLAYSTATION,2011,PS3,Role-Playing,Namco Bandai Games,1.51,85
Call of Duty 3,PLAYSTATION,2006,PS3,Shooter,Activision,1.5,80
Tokyo Xtreme Racer Zero,PLAYSTATION,2000,PS2,Racing,Crave Entertainment,1.5,76
Red Faction II,PLAYSTATION,2002,PS2,Shooter,THQ,1.5,84
Madden NFL 2001,PLAYSTATION,2000,PS2,Sports,Electronic Arts,1.5,91
Star Wars: The Force Unleashed II,PLAYSTATION,2010,PS3,Action,LucasArts,1.5,63
Rock Band 2,PLAYSTATION,2008,PS3,Misc,MTV Games,1.49,91
Medal of Honor: Frontline,XBOX,2002,XB,Shooter,Electronic Arts,1.49,81
Madden NFL 09,PLAYSTATION,2008,PS2,Sports,Electronic Arts,1.49,67
Dead Rising 2,XBOX,2010,X360,Action,Capcom,1.49,79
Mafia II,PLAYSTATION,2010,PS3,Action,Take-Two Interactive,1.49,75
Batman: Arkham Knight,XBOX,2015,XOne,Action,Warner Bros. Interactive Entertainment,1.49,85
Dirge of Cerberus: Final Fantasy VII,PLAYSTATION,2006,PS2,Shooter,Square Enix,1.48,57
Sonic Rivals 2,PLAYSTATION,2007,PSP,Racing,Sega,1.48,60
Resistance 3,PLAYSTATION,2011,PS3,Shooter,Sony Computer Entertainment,1.48,83
007: Quantum of Solace,XBOX,2008,X360,Action,Activision,1.48,65
Major League Baseball 2K5,PLAYSTATION,2005,PS2,Sports,Take-Two Interactive,1.48,82
